Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa05230:Central carbon metabolism in cancer,31,6.72E-07,"GLS2, PTEN, PIK3CD, PIK3R3, PIK3R2, PDHB, PIK3R1, EGFR, GLS, LDHA, MYC, AKT2, AKT3, ERBB2, AKT1, MAPK1, HRAS, MAPK3, PDGFRB, MAP2K1, MAP2K2, PDHA1, IDH2, SIRT6, PFKL, PIK3CA, KRAS, RAF1, MET, TP53, FGFR1",2.51396581,2.16E-04,1.42E-06,6.72E-07
hsa04512:ECM-receptor interaction,36,7.12E-07,"ITGB1, LAMA5, LAMA2, ITGB5, ITGB4, LAMA4, ITGB3, LAMA3, LAMC2, DAG1, ITGAV, ITGB7, ITGB6, LAMB3, LAMB2, ITGA3, ITGA2, ITGA1, FN1, COL1A1, COL1A2, COL4A2, COL4A1, COL4A4, COL6A2, COL4A3, COL6A1, COL4A5, ITGA7, ITGA6, COL6A6, COL9A2, ITGA5, AGRN, CD44, ITGA9",2.322285133,2.29E-04,1.49E-06,7.12E-07
hsa04215:Apoptosis - multiple species,19,9.18E-07,"APAF1, XIAP, TNFRSF1A, MAPK10, CASP9, MAPK9, CASP7, MAPK8, BCL2L11, CASP8, CASP3, BCL2, BAX, CYCS, BAK1, FADD, BIRC2, BIRC3, BCL2L1",3.370538838,2.95E-04,1.91E-06,9.18E-07
hsa04918:Thyroid hormone synthesis,32,1.14E-06,"ATF2, ADCY4, ITPR1, ADCY3, ITPR2, ITPR3, ATP1A1, TTF1, ADCY7, ADCY6, HSP90B1, CREB3L4, CREB3L1, CREB3L2, PRKACA, PRKACB, GPX1, GSR, GPX7, PRKCA, ATP1B1, CREB3, PLCB3, PLCB4, CREB1, ADCY9, GNAQ, CANX, GNAS, PLCB2, ATF4, CREB5",2.422057383,3.67E-04,2.37E-06,1.14E-06
hsa04150:mTOR signaling pathway,53,1.25E-06,"PTEN, PIK3CD, RPTOR, IKBKB, FLCN, STK11, AKT2, AKT3, MLST8, AKT1, ATP6V1E1, HRAS, ATP6V1G1, MAP2K1, SEC13, MAP2K2, CHUK, PDPK1, RPS6, PRKCA, TSC1, RHOA, TNFRSF1A, RRAGA, PIK3CA, RRAGC, RRAGB, RRAGD, ATP6V1B2, RAF1, SOS1, SOS2, ATP6V1A, PRKAA1, SEH1L, PRKAA2, PIK3R3, PIK3R2, PIK3R1, LRP6, ATP6V1H, MAPK1, ATP6V1D, ATP6V1C1, EIF4B, ATP6V1F, MAPK3, BRAF, IGF1, RPS6KB1, RPS6KB2, KRAS, GRB2",1.928621414,4.01E-04,2.57E-06,1.25E-06
hsa04925:Aldosterone synthesis and secretion,38,1.56E-06,"ATF2, CAMK2D, ADCY4, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ATP1A1, ADCY7, ADCY6, CREB3L4, GNA11, CREB3L1, CREB3L2, PRKACA, CAMK2G, PRKACB, PRKCE, ATP2B4, PRKCA, ATP2B1, ATP1B1, CREB3, PLCB3, PLCB4, CREB1, ADCY9, GNAQ, CAMK4, GNAS, CALM3, CALM1, PLCB2, CALM2, ATF4, CREB5",2.201168221,5.01E-04,3.19E-06,1.56E-06
hsa00020:Citrate cycle (TCA cycle),18,1.61E-06,"PDHA1, MDH1, IDH3G, MDH2, IDH2, DLST, PDHB, SDHD, SDHB, CS, ACLY, IDH3B, ACO1, DLAT, ACO2, DLD, PCK2, IDH3A",3.406018195,5.17E-04,3.28E-06,1.61E-06
hsa04115:p53 signaling pathway,31,1.96E-06,"CDKN1A, PTEN, RCHY1, CASP9, CCNB2, CCND3, CCNB1, CASP8, CCND1, CHEK2, CASP3, CHEK1, SFN, APAF1, CDKN2A, SIAH1, TNFRSF10A, IGF1, CDK6, CDK4, CDK2, BCL2, CDK1, MDM2, BAX, FAS, CYCS, ATM, TP53, BCL2L1, ATR",2.410652147,6.30E-04,3.96E-06,1.96E-06
hsa05414:Dilated cardiomyopathy,37,2.60E-06,"ITGB1, LAMA2, ITGB5, ITGB4, ITGB3, ADCY4, ATP2A3, ATP2A2, ADCY3, CACNA1D, CACNA1C, ADCY7, ADCY6, ACTB, ACTG1, PLN, DAG1, ITGAV, ITGB7, ITGB6, PRKACA, PRKACB, TGFB2, TGFB1, TGFB3, ITGA3, ITGA2, ITGA1, IGF1, CACNB1, CACNB3, ADCY9, GNAS, ITGA7, ITGA6, ITGA5, ITGA9",2.187893632,8.34E-04,5.21E-06,2.60E-06
hsa03015:mRNA surveillance pathway,37,3.44E-06,"SMG1, NXT1, RBM8A, RNMT, EIF4A3, PPP2R2A, SMG7, SMG5, SMG6, PPP2CA, PPP1CB, PPP2CB, NXF1, PPP1CC, PPP2R1B, PABPN1, PCF11, PPP2R1A, PPP2R5E, PPP2R3C, SAP18, PELO, UPF2, CPSF4, RNGTT, NCBP1, NCBP2, PPP2R5B, PPP2R5A, UPF3B, PPP2R5D, PPP2R3A, PPP2R5C, PPP1CA, NUDT21, WDR82, PABPC1",2.165338027,0.001104354,6.86E-06,3.44E-06
hsa04929:GnRH secretion,28,3.49E-06,"ITPR1, PIK3CD, PIK3R3, ITPR2, CACNA1D, ARRB1, PIK3R2, ITPR3, CACNA1C, ARRB2, PIK3R1, GNA11, AKT2, AKT3, AKT1, MAPK1, HRAS, MAPK3, MAP2K1, MAP2K2, PRKCA, PLCB3, PLCB4, PIK3CA, GNAQ, KRAS, RAF1, PLCB2",2.483554934,0.001120289,6.92E-06,3.49E-06
hsa04360:Axon guidance,58,3.71E-06,"ITGB1, ILK, PIK3CD, PPP3CA, PPP3CB, PPP3CC, CFL1, NCK2, RAC2, RAC1, HRAS, PDPK1, SEMA6D, PRKCA, RHOA, PIK3CA, RASA1, RAF1, EPHA1, MET, MYL9, CAMK2D, ROCK2, GNAI3, CXCR4, PIK3R3, PIK3R2, PIK3R1, EFNA5, NTN1, PRKCZ, MYL12A, GNAI1, GNAI2, MYL12B, CDC42, PPP3R1, ABL1, PLCG2, PLXNA2, MAPK1, SLIT3, FYN, SLIT2, PLCG1, CAMK2G, PAK2, PAK4, MAPK3, SEMA4A, SEMA4D, NFATC3, NFATC2, PTPN11, EFNA1, CXCL12, CDK5, KRAS",1.809057283,0.001189161,7.30E-06,3.71E-06
hsa04657:IL-17 signaling pathway,36,4.31E-06,"SRSF1, TNFAIP3, CXCL2, RELA, HSP90B1, IKBKB, MAPK9, MAPK8, CASP8, TBK1, CASP3, MAPK1, FADD, IKBKG, MAP3K7, IKBKE, MAPK3, JUN, HSP90AA1, JUND, CHUK, TRAF2, FOS, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, NFKBIA, MAPK11, CXCL10, TRAF6, LCN2, TAB3, TAB2, ANAPC5",2.174054167,0.001382067,8.43E-06,4.31E-06
hsa04724:Glutamatergic synapse,41,5.10E-06,"GLS2, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, GNAI1, ADCY6, GNAI2, PLD2, GLS, PPP3CA, PPP3CB, PPP3R1, PPP3CC, GNG2, GNG5, MAPK1, PRKACA, GLUL, PRKACB, MAPK3, PLA2G4C, PLA2G4A, PRKCA, GNG12, GNG11, PLCB3, PLCB4, ADCY9, GNAQ, GNB2, GNB1, GNB4, GNAS, GNB5, PLCB2",2.041619093,0.001636131,9.92E-06,5.10E-06
hsa04924:Renin secretion,29,5.76E-06,"PDE3B, GNAI3, ITPR1, ITPR2, CACNA1D, ITPR3, CACNA1C, GNAI1, ADCY6, GNAI2, PPP3CA, PPP3CB, PPP3R1, EDNRA, PPP3CC, PRKACA, PRKACB, CTSB, GUCY1A2, PLCB3, PLCB4, CREB1, GNAQ, KCNMA1, GNAS, CALM3, CALM1, PLCB2, CALM2",2.385858156,0.00184604,1.11E-05,5.76E-06
hsa03022:Basal transcription factors,22,6.28E-06,"TAF15, TBP, TAF12, TAF13, TAF10, TAF11, GTF2H1, GTF2H3, CDK7, ERCC3, ERCC2, TAF4B, TAF7, GTF2IRD1, TAF6, TAF5, TAF9B, MNAT1, TAF4, TAF3, TAF2, TAF1",2.775274084,0.002013492,1.21E-05,6.28E-06
hsa04144:Endocytosis,72,1.45E-05,"ARF1, ZFYVE9, ARPC1B, ARPC1A, CLTC, CLTB, ARPC5L, CLTA, CBLC, ARRB1, AP2A1, CBLB, ARRB2, CAPZB, KIF5B, CCR5, HRAS, VPS36, AP2M1, VPS37C, VPS37B, ARAP1, RHOA, TGFBR1, DNM1, TGFBR2, BIN1, TRAF6, STAM2, VPS25, VPS28, RAB5C, VPS4B, VPS4A, AGAP2, CXCR4, ASAP1, ASAP2, CBL, PRKCZ, EGFR, PLD2, CDC42, AP2S1, PIP5K1A, PIP5K1B, PIP5K1C, SMAD2, HSPA8, SMAD3, SMURF2, VTA1, CAV1, HSPA6, WWP1, ARPC4, AP2B1, STAM, HSPA2, ARPC5, IGF2R, PML, EHD1, EHD2, EHD3, ARPC2, ARPC3, CAPZA1, NEDD4, CAPZA2, MDM2, RAB5A",1.628375232,0.004642141,2.77E-05,1.45E-05
hsa04971:Gastric acid secretion,30,1.64E-05,"CAMK2D, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, ITPR3, ATP1A1, ADCY7, GNAI1, ADCY6, ACTB, ACTG1, GNAI2, SLC9A1, PRKACA, CAMK2G, PRKACB, PRKCA, ATP1B1, PLCB3, PLCB4, ADCY9, KCNQ1, GNAQ, GNAS, CALM3, CALM1, PLCB2, CALM2",2.240801444,0.005235657,3.11E-05,1.64E-05
hsa04927:Cortisol synthesis and secretion,27,1.68E-05,"ATF2, ADCY4, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, ADCY6, CREB3L4, GNA11, CREB3L1, CREB3L2, PRKACA, PRKACB, CREB3, PLCB3, PLCB4, CREB1, ADCY9, SP1, GNAQ, GNAS, PLCB2, ATF4, CREB5",2.358012596,0.005366493,3.17E-05,1.68E-05
hsa05323:Rheumatoid arthritis,34,2.58E-05,"ATP6V1A, ITGB2, TCIRG1, TNFRSF11A, CXCL2, ICAM1, CCL5, CTSK, CCL3, ATP6V1H, ATP6V1E1, ATP6V0E2, ATP6V1D, ATP6V1C1, ATP6V1F, ATP6V0A1, TGFB2, JUN, ATP6V1G1, ATP6V0B, TGFB1, ATP6V0E1, ATP6AP1, TGFB3, IL18, FOS, CXCL12, ATP6V1B2, HLA-DPB1, CD28, ATP6V0D1, ATP6V0C, TLR4, HLA-DRB1",2.075351588,0.008254941,4.85E-05,2.58E-05
hsa03430:Mismatch repair,14,2.93E-05,"RFC5, RFC3, RFC4, PCNA, RFC1, RFC2, RPA1, RPA2, POLD3, POLD4, RPA3, POLD1, POLD2, SSBP1",3.455380777,0.009352097,5.46E-05,2.93E-05
hsa04350:TGF-beta signaling pathway,34,3.32E-05,"ZFYVE9, CUL1, PPP2CA, PPP2CB, PPP2R1B, PPP2R1A, MYC, MAPK1, EP300, MAPK3, SKP1, TGIF1, SMAD2, TGFB2, CDKN2B, CREBBP, SMAD4, TGFB1, TGIF2, SMAD3, SMURF2, TGFB3, RGMB, RHOA, TGFBR1, DCN, TGFBR2, RBX1, SMAD7, RPS6KB1, SP1, ID1, RPS6KB2, FBN1",2.05327338,0.01059401,6.16E-05,3.32E-05
hsa05412:Arrhythmogenic right ventricular cardiomyopathy,29,6.31E-05,"ITGB1, LAMA2, ITGB5, ITGB4, ITGB3, TCF7, ATP2A3, ATP2A2, CACNA1D, CACNA1C, ACTB, ACTG1, DAG1, CTNNA1, ITGAV, ITGB7, ITGB6, TCF7L2, TCF7L1, ITGA3, ITGA2, ITGA1, CACNB1, CACNB3, CTNNB1, ITGA7, ITGA6, ITGA5, ITGA9",2.137976789,0.020045045,1.16E-04,6.31E-05
"hsa00280:Valine, leucine and isoleucine degradation",21,7.91E-05,"ECHS1, ABAT, ACAT2, ACAT1, ALDH3A2, HADHB, IL4I1, HADHA, ALDH6A1, MCEE, ALDH2, ALDH1B1, EHHADH, ACADM, HADH, ACAA1, ACADS, DLD, ALDH7A1, HIBCH, ALDH9A1",2.483554934,0.025062898,1.45E-04,7.91E-05
hsa00410:beta-Alanine metabolism,16,7.97E-05,"ECHS1, ABAT, CNDP2, ALDH3A2, HADHA, ALDH6A1, ALDH2, ALDH1B1, ACOX1, EHHADH, ALDH3B1, ACOX3, ACADS, ALDH7A1, HIBCH, ALDH9A1",2.929908124,0.025266175,1.45E-04,7.97E-05
hsa05410:Hypertrophic cardiomyopathy,32,8.61E-05,"ITGB1, PRKAA1, PRKAA2, LAMA2, ITGB5, ITGB4, ITGB3, ATP2A3, PRKAG2, ATP2A2, CACNA1D, CACNA1C, ACTB, ACTG1, DAG1, ITGAV, ITGB7, ITGB6, TGFB2, TGFB1, TGFB3, ITGA3, ITGA2, ITGA1, IGF1, PRKAB1, CACNB1, CACNB3, ITGA7, ITGA6, ITGA5, ITGA9",2.018381152,0.02724569,1.56E-04,8.61E-05
hsa04310:Wnt signaling pathway,50,1.13E-04,"PPP3CA, CCND3, PPP3CB, PPP3CC, CCND1, MYC, RAC2, EP300, RAC1, PRKACA, PRKACB, MAP3K7, SKP1, TLE4, TLE3, TLE2, CSNK2A2, PRKCA, CSNK1E, RHOA, RBX1, PLCB3, PLCB4, TBL1XR1, PLCB2, TP53, PPARD, CAMK2D, ROCK2, CTBP1, TCF7, CUL1, NLK, LRP6, MAPK9, PPP3R1, MAPK8, TBL1X, CAMK2G, TCF7L2, JUN, CREBBP, TCF7L1, SMAD4, SMAD3, SIAH1, NFATC3, NFATC2, MAPK10, CTNNB1",1.699609878,0.0357746,2.05E-04,1.13E-04
hsa04961:Endocrine and other factor-regulated calcium reabsorption,22,1.26E-04,"CLTC, ATP2B4, CLTB, CLTA, AP2A1, PRKCA, AP2B1, ATP2B1, ATP1A1, ATP1B1, ADCY6, DNM1, PLCB3, ADCY9, PLCB4, GNAQ, AP2S1, GNAS, PRKACA, PLCB2, PRKACB, AP2M1",2.356364789,0.039659208,2.26E-04,1.26E-04
hsa03410:Base excision repair,16,1.93E-04,"PCNA, PARP1, XRCC1, HMGB1, UNG, POLE4, POLD3, POLD4, NEIL2, POLD1, TDG, POLD2, POLE3, POLL, NEIL1, POLE",2.752337935,0.060211737,3.45E-04,1.93E-04
hsa04630:JAK-STAT signaling pathway,48,2.08E-04,"CDKN1A, PDGFB, PDGFA, PIK3CD, PIK3R3, PIK3R2, PIK3R1, EGFR, CCND3, SOCS1, CCND1, MYC, AKT2, AKT3, AKT1, EP300, JAK2, HRAS, JAK3, JAK1, PIAS4, PDGFRB, IFNAR2, PIAS3, STAT5B, CREBBP, IFNGR1, IL10RB, STAT1, IL10RA, IFNGR2, STAT2, STAT3, PTPN11, TYK2, STAM, PIK3CA, IL7, BCL2, GRB2, RAF1, IL7R, SOS1, STAM2, SOS2, IRF9, BCL2L1, IFNAR1",1.681984294,0.064651292,3.69E-04,2.08E-04
hsa04911:Insulin secretion,30,2.19E-04,"ATF2, CAMK2D, ADCY4, ADCY3, CACNA1D, ITPR3, CACNA1C, ATP1A1, ADCY7, ADCY6, CREB3L4, GNA11, CREB3L1, CREB3L2, PRKACA, CAMK2G, PRKACB, PRKCA, ATP1B1, CREB3, PLCB3, PLCB4, CREB1, ADCY9, GNAQ, KCNMA1, GNAS, PLCB2, ATF4, CREB5",1.980243136,0.068034874,3.87E-04,2.19E-04
hsa04726:Serotonergic synapse,37,2.24E-04,"GNAI3, ARAF, ITPR1, ITPR2, CACNA1D, ITPR3, CACNA1C, GNAI1, GNAI2, GNG2, GNG5, CASP3, ALOX5, MAPK1, PRKACA, HRAS, PRKACB, MAPK3, MAP2K1, PLA2G4C, PLA2G4A, PRKCA, BRAF, GNG12, GNG11, PLCB3, PLCB4, GNAQ, GNB2, GNB1, GNB4, GNAS, KRAS, GNB5, RAF1, PLCB2, RAPGEF3",1.826415554,0.069408983,3.89E-04,2.24E-04
hsa01200:Carbon metabolism,37,2.24E-04,"ECHS1, RPE, DLST, ENO1, PDHB, ENO2, ADH5, ACAT2, ACAT1, GCSH, MCEE, IDH3B, DLAT, ACADS, HIBCH, IDH3A, PDHA1, MDH1, IDH3G, MDH2, IDH2, GOT2, AMT, SDHD, PGD, SDHB, CS, GLUD1, PFKL, ALDH6A1, ACOX1, CAT, ACO1, ACO2, ACOX3, DLD, GAPDH",1.826415554,0.069408983,3.89E-04,2.24E-04
hsa00630:Glyoxylate and dicarboxylate metabolism,15,2.24E-04,"MDH1, MDH2, AMT, ACAT2, ACAT1, CS, GCSH, GRHPR, MCEE, AFMID, CAT, ACO1, ACO2, GLUL, DLD",2.838348495,0.069445905,3.89E-04,2.24E-04
hsa04613:Neutrophil extracellular trap formation,54,2.53E-04,"ITGAM, NCF1, NCF2, ITGB3, HDAC11, NCF4, ITGB2, PIK3CD, HMGB1, ACTB, ACTG1, FCGR3A, AKT2, AKT3, CASP1, RAC2, AKT1, RAC1, MAP3K7, MAP2K1, CR1, MAP2K2, SYK, CYBB, PRKCA, CYBA, PLCB3, PLCB4, PIK3CA, TLR7, RAF1, TLR4, PLCB2, HDAC2, HDAC3, PIK3R3, PIK3R2, PIK3R1, HDAC8, HDAC6, RELA, HDAC7, C3, PLCG2, MAPK1, PLCG1, FCGR1A, MAPK3, MAPK14, MAPK12, NFKB1, MAPK13, MAPK11, FCGR2A",1.61337704,0.078154418,4.37E-04,2.53E-04
hsa05416:Viral myocarditis,23,3.29E-04,"CD40, LAMA2, CAV1, ITGB2, ACTB, ACTG1, ICAM1, CASP9, CASP8, CCND1, CASP3, DAG1, HLA-DPB1, CD28, RAC2, ABL1, ABL2, CYCS, FYN, RAC1, EIF4G3, HLA-DRB1, EIF4G1",2.17606718,0.100103009,5.64E-04,3.29E-04
hsa04710:Circadian rhythm,15,3.43E-04,"PRKAA1, PRKAA2, CUL1, PRKAG2, CSNK1D, RORA, NR1D1, CSNK1E, PRKAB1, NPAS2, RBX1, PER2, PER1, CREB1, SKP1",2.746788867,0.104326092,5.86E-04,3.43E-04
hsa01212:Fatty acid metabolism,22,4.14E-04,"ELOVL1, ACADVL, CPT1A, ECHS1, ACSL5, HSD17B4, ACSL4, HSD17B12, ACAT2, ACAT1, HADHB, HADHA, CPT2, ACOX1, EHHADH, FASN, ACADM, ACOX3, HADH, ACAA1, ACADS, FADS1",2.191005856,0.12439486,7.03E-04,4.14E-04
hsa00620:Pyruvate metabolism,19,6.15E-04,"PDHA1, MDH1, ADH1B, MDH2, PDHB, ACACB, ADH5, ACAT2, ACAT1, ALDH3A2, GRHPR, LDHA, ALDH2, ALDH1B1, DLAT, DLD, ALDH7A1, PCK2, ALDH9A1",2.294834954,0.1793296,0.001039857,6.15E-04
hsa04390:Hippo signaling pathway,45,7.39E-04,"YWHAE, YWHAB, TCF7, ITGB2, PPP2R2A, PRKCZ, ACTB, ACTG1, PPP2CA, PPP1CB, PPP2CB, PPP1CC, CCND3, RASSF1, PPP2R1B, CCND1, YWHAQ, PPP2R1A, CDH1, MYC, CTNNA1, TEAD1, YWHAG, TEAD3, YWHAH, SMAD2, WWTR1, TCF7L2, TGFB2, TCF7L1, SMAD4, TGFB1, SMAD3, TGFB3, CSNK1D, CSNK1E, YWHAZ, TGFBR1, TGFBR2, PPP1CA, SMAD7, ID1, CTNNB1, BIRC2, BIRC3",1.627078755,0.211130662,0.001241188,7.39E-04
hsa04923:Regulation of lipolysis in adipocytes,21,8.92E-04,"PDE3B, ADCY4, GNAI3, ADCY3, PIK3CD, PIK3R3, PIK3R2, IRS2, PIK3R1, ADCY7, ADCY6, GNAI1, GNAI2, ADCY9, PIK3CA, AKT2, AKT3, GNAS, AKT1, PRKACA, PRKACB",2.128761372,0.249192592,0.001492074,8.92E-04
hsa04966:Collecting duct acid secretion,13,0.001082707,"ATP6V1A, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1B2, ATP6V1E1, ATP6V0E2, ATP6V0D1, ATP6V0C, ATP6V1D, ATP6V1C1, ATP6V1F, ATP6V0A1",2.733224477,0.293715645,0.001800772,0.001082707
hsa04974:Protein digestion and absorption,32,0.001238476,"COL17A1, COL18A1, COL15A1, COL14A1, ELN, ATP1A1, DPP4, COL10A1, CPA3, MME, KCNJ13, SLC16A10, ATP1B1, COL1A1, COL3A1, COL1A2, COL4A2, COL5A1, COL4A1, COL4A4, KCNQ1, COL6A2, COL5A3, COL7A1, COL4A3, COL5A2, COL6A1, COL8A2, COL4A5, COL8A1, COL6A6, COL9A2",1.763634017,0.328201774,0.002049231,0.001238476
hsa00380:Tryptophan metabolism,17,0.001304312,"ECHS1, DLST, ACAT2, ACAT1, ALDH3A2, IL4I1, HADHA, ALDH2, ALDH1B1, EHHADH, AFMID, CAT, HADH, DLD, ALDH7A1, IDO1, ALDH9A1",2.297710687,0.342267773,0.002147098,0.001304312
hsa04721:Synaptic vesicle cycle,26,0.001344845,"NAPA, ATP6V1A, CLTC, CLTB, CLTA, AP2A1, TCIRG1, AP2S1, ATP6V1H, STX2, ATP6V1E1, ATP6V0E2, ATP6V1D, ATP6V1C1, AP2M1, ATP6V1F, ATP6V0A1, NSF, ATP6V1G1, ATP6V0B, ATP6V0E1, AP2B1, DNM1, ATP6V1B2, ATP6V0D1, ATP6V0C",1.89223233,0.350781396,0.002202527,0.001344845
hsa04930:Type II diabetes mellitus,18,0.001380347,"PRKCE, PRKCD, PIK3CD, PIK3R3, CACNA1D, PIK3R2, IRS2, CACNA1C, PIK3R1, PRKCZ, MAPK10, IKBKB, MAPK9, MAPK8, SOCS1, PIK3CA, MAPK1, MAPK3",2.221316214,0.358147912,0.002249194,0.001380347
hsa04141:Protein processing in endoplasmic reticulum,47,0.001455713,"SEC23A, VCP, SEL1L, UBE2D3, CUL1, UBE2D1, HSP90B1, SEC61A2, MAPK9, MAPK8, OS9, SEC61G, CAPN2, SSR1, BAK1, SEC61B, MAP2K7, SEC62, SEC63, SKP1, HSPA8, XBP1, HSP90AA1, SEC13, WFS1, HSPA6, SYVN1, EIF2AK3, EIF2AK2, TRAF2, EIF2AK4, HSPA2, EIF2S1, RAD23B, RBX1, ERN1, MAPK10, DNAJC3, CANX, BCL2, BAX, PREB, P4HB, CALR, SEC24D, SEC24C, ATF4",1.560261746,0.373511091,0.002360019,0.001455713
hsa00640:Propanoate metabolism,14,0.001853572,"ECHS1, ABAT, ACACB, HADHA, LDHA, ALDH6A1, MCEE, ACOX1, EHHADH, ECHDC1, ACOX3, ACADS, DLD, HIBCH",2.483554934,0.448740039,0.002989933,0.001853572
hsa04137:Mitophagy - animal,24,0.002163985,"GABARAPL2, JUN, BNIP3, CSNK2A2, EIF2AK3, MITF, FOXO3, RELA, MAPK10, MAPK9, MAPK8, TBK1, UBB, SP1, UBC, E2F1, KRAS, RPS27A, HRAS, SQSTM1, UBA52, TP53, ATF4, BCL2L1",1.89223233,0.50112116,0.003473197,0.002163985
hsa05206:MicroRNAs in cancer,75,0.00268599,"CDKN1A, CDKN1B, ITGB3, PTEN, PIK3CD, IRS2, BRCA1, GLS, CRKL, RPTOR, IKBKB, RASSF1, CCND1, PLAU, MYC, CASP3, EP300, HRAS, SOX4, PDGFRB, MAP2K1, MAP2K2, PRKCE, KIF23, PRKCA, SIRT1, RHOA, CDC25B, PIK3CA, ITGA5, RAF1, SOS1, MET, TP53, CRK, SOS2, CD44, NOTCH2, NOTCH3, HDAC2, GLS2, SHC1, PDGFB, PDGFA, PIK3R3, PIK3R2, PIK3R1, EFNA5, EGFR, BCL2L11, SOCS1, ERBB2, ABL1, E2F1, PLCG2, MAPK1, HMOX1, E2F3, BAK1, PLCG1, PAK4, MAPK3, TGFB2, CREBBP, CDKN2A, STAT3, NFKB1, EFNA1, HNRNPK, CDK6, BCL2, MDM2, KRAS, GRB2, ATM",1.373394433,0.578258521,0.004289566,0.00268599
hsa05030:Cocaine addiction,18,0.00302685,"ATF2, JUN, GNAI3, RELA, GNAI1, NFKB1, GNAI2, CREB3, CREB1, CDK5, CREB3L4, CREB3L1, CREB3L2, GNAS, PRKACA, PRKACB, CREB5, ATF4",2.085317262,0.622087441,0.004809995,0.00302685
hsa05034:Alcoholism,49,0.003295313,"ATF2, HDAC11, ARAF, PPP1CB, PPP1CC, CREB3L4, CREB3L1, CREB3L2, PRKACA, PRKACB, HRAS, MAP2K1, CREB3, CREB1, RAF1, SOS1, SOS2, ATF4, CREB5, SHC2, HDAC2, HDAC3, SHC3, SHC1, GNAI3, HDAC8, HDAC6, GNAI1, GNAI2, HDAC7, GNG2, GNG5, MAPK1, MAPK3, BRAF, GNG12, GNG11, PPP1CA, CAMK4, GNB2, GNB1, GNB4, GNAS, KRAS, CALM3, GRB2, GNB5, CALM1, CALM2",1.487476752,0.653385587,0.005210816,0.003295313
hsa03060:Protein export,11,0.003429287,"SEC61A2, OXA1L, SPCS3, SPCS1, SRP72, SEC61G, SRPRB, SEC61B, SEC62, SEC11A, SEC63",2.714942039,0.668024058,0.005396083,0.003429287
hsa04727:GABAergic synapse,27,0.004623902,"GLS2, ADCY4, GNAI3, ADCY3, CACNA1D, ABAT, CACNA1C, ADCY7, GNAI1, ADCY6, GNAI2, GLS, GNG2, GNG5, PRKACA, GLUL, PRKACB, NSF, GABARAPL2, PRKCA, GNG12, GNG11, ADCY9, GNB2, GNB1, GNB4, GNB5",1.722144031,0.774111714,0.007240354,0.004623902
hsa00650:Butanoate metabolism,12,0.005563083,"HADHA, BDH2, ECHS1, ALDH5A1, BDH1, EHHADH, ABAT, L2HGDH, HADH, ACADS, ACAT2, ACAT1",2.432870139,0.833162573,0.008668688,0.005563083
hsa04960:Aldosterone-regulated sodium reabsorption,14,0.008030093,"PDPK1, PIK3CD, PIK3R3, PRKCA, PIK3R2, PIK3R1, IGF1, ATP1A1, ATP1B1, PIK3CA, MAPK1, KRAS, SFN, MAPK3",2.147939402,0.924834665,0.012452464,0.008030093
hsa04972:Pancreatic secretion,29,0.008589182,"ADCY4, ATP2A3, ITPR1, ATP2A2, ADCY3, ITPR2, ITPR3, ATP1A1, ADCY7, ADCY6, SLC9A1, RAP1B, RAP1A, RAC1, CPA3, PLA2G12A, ATP2B4, PRKCA, ATP2B1, ATP1B1, RHOA, PLCB3, PLCB4, ADCY9, KCNQ1, GNAQ, KCNMA1, GNAS, PLCB2",1.61396287,0.937277581,0.01325542,0.008589182
hsa04020:Calcium signaling pathway,57,0.013324111,"ATP2A3, ATP2A2, FGF2, PPP3CA, PPP3CB, EDNRA, PPP3CC, PLCE1, PRKACA, PRKACB, PDGFRB, SPHK2, HGF, SPHK1, PRKCA, PHKA2, ITPKB, PLCB3, PLCB4, ADCY9, MET, PLCB2, CAMK2D, ADCY4, PDGFB, ITPR1, PDGFA, CXCR4, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, EGFR, PPP3R1, GNA15, PLN, GNA11, PHKG2, ERBB2, PDGFC, PLCG2, PLCG1, CAMK2G, ATP2B4, ATP2B1, MCOLN1, P2RX7, GNAL, CAMK4, GNAQ, GNAS, CALM3, CALM1, CALM2, FGFR1",1.348215535,0.986509766,0.020464305,0.013324111
hsa04970:Salivary secretion,26,0.016390308,"ADCY4, ITPR1, ADCY3, ITPR2, ITPR3, ATP1A1, ADCY7, ADCY6, SLC9A1, PRKACA, PRKACB, GUCY1A2, ATP2B4, PRKCA, ATP2B1, ATP1B1, PLCB3, PLCB4, ADCY9, GNAQ, KCNMA1, GNAS, CALM3, CALM1, PLCB2, CALM2",1.587033567,0.995032721,0.025053757,0.016390308
